"pdf01","Документ сгенерирован [[date_y]]-[[date_m]]-[[date_d]]"
"pdf02","Документ сгенерирован в [[date_h]]:[[date_i]]"
"pdf03","Документ сгенерирован [[date_y]]-[[date_m]]-[[date_d]] в [[date_h]]:[[date_i]]"
"pdf04","Страница [[page_cu]]/[[page_nb]]"
"pdf05","Формы требуют использования Adobe Reader 9"
